State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
OH,OH-11,CLEVELAND STATE UNIVERSITY,NNC06UB79P Modification 0 (Base Record),GRC - Glenn Research Center,"CLEVELAND, OH (District 11)",06/08/2006,09/02/2006,"Educational Institution,State Government,, Firm Fixed Price",Educational - ,"$3,109","$3,109",611430,N/A,N/A,TRAINING
OH,OH-10,GRAS NA INCORPORATED,NNC06VF69P Modification 0 (Base Record),GRC - Glenn Research Center,"North Olmsted, OH (District 10)",06/08/2006,06/26/2006,"[No Vendor Indicators Found], Firm Fixed Price",Small Business ONLY - ,"$3,355","$3,355",[None Indicated],N/A,N/A,"SMPS-BOARD SERVICE KIT, CONSTANT CURRENT BOARD, CABLES, ARRAY MISC CONNECTOR"
OH,OH-10,MAINTHIA TECHNOLOGIES INCORPORATED,NNL06AC29T Modification 0 (Base Record),LaRC - Langley Research Center,"Cleveland, OH (District 10)",06/08/2006,12/30/2007,"Minority Owned,SBA Certified 8A Program Participant,Small Business,Small Disadvantaged Business,Sub Continent Asian American Owned Business,, Cost Plus Fixed Fee","Small Disadvantaged Business,8(A) Program,Small Business - ","$15,113","$15,113",541690,N/A,N/A,TASK ORDER TO NNL04AA55C PROVIDE A QUALITY ASSURANCE SPECIALIST TO SUPPORT COCKPIT MOTION FACILTY
OH,OH-07,ADVANCED WIRE AND CABLE,NNG06LD48P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Xenia, OH (District 07)",06/08/2006,08/17/2006,"Small Business,Women Owned,, Firm Fixed Price","Woman Owned Small Business,Small Business - ","$19,641","$19,641",[None Indicated],N/A,N/A,"12,000 2 CONDUCTOR TWISTED SHIELDED PAIR M27500-24RC2S06 ..50/FT;2 CONDUCTOR TWISTED SHIELDED PAIR 2,000 M27500-22RC2S06 .55/FT;2 CONDUCTOR TWISTED SHIELDED PAIR 18,000 M27500-24RC2S06 ...45/FT;2 CONDUCTOR TWISTED SHIELDED PAIR 4/000 M27500-20CRs@06 ...65/FT and SHIPPING."
OH,OH-03,"REED ELSEVIER, INC.",NNL06AB22D Modification 0 (Base Record),LaRC - Langley Research Center,"Miamisburg, OH (District 03)",06/08/2006,12/31/2006,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,"$22,560","$22,560",[None Indicated],N/A,N/A,LEXISNEXIS ELECTONIC RESEARCH SERVICE
OH,OH-14,VAL FLO CONTROLS INCORPORATED,NNC06VG21P Modification 0 (Base Record),GRC - Glenn Research Center,"Mentor, OH (District 14)",06/08/2006,07/13/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,"$24,680","$24,680",[None Indicated],N/A,N/A,"HYDROGEN MASS FLOW CONTROLLER, CARBON MONOXIDE MASS FLOW CONTROLLER, INERT GAS MASS FLOW CONTROLLER"
OH,OH-14,KEITHLEY INSTRUMENTS INCORPORATED,NNG06LH42P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Solon, OH (District 14)",06/08/2006,07/14/2006,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,"$24,964","$24,964",[None Indicated],N/A,N/A,MODEL 4200-PA 3M REMOTE CABLE; LOW CURRENT SWITCH MATRIX 8 INPUTS 12 OU; HIGH POWER SOURCE-MEASURE UNIT; REMOTE PREAMP OPT 4200-SMU AND 4210-SMU; UPGRADE SERVICE FOR ADDED SMU AND PA INS; SHIPPING
OH,OH-14,"ANSYS, INC",NNC06DC77D Modification 0 (Base Record),GRC - Glenn Research Center,"Hudson, OH (District 14)",06/08/2006,06/30/2007,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,"$51,833","$51,833",[None Indicated],N/A,N/A,"SW MAITENANCE; CAD2 MESH, CFX FCS, CFX POST, CFX PARALLEL PROCESSING, ADDT'LL YR MAINT., ANSYS MECHANICAL, ANSYS INTERFACE PRO-ENGINEER, ANSYS CFX CAD2MESH, ANSYS CFX 5 FULL CAPABILITY SOLVER, ANSYS CFX POST, ANSYS INTERFACE FOR PARASOLID"
OH,OH-11,CLEVELAND STATE UNIV,NNC04GA04G Modification 8,GRC - Glenn Research Center,"CLEVELAND, OH (District 11)",06/09/2006,09/30/2007,"Educational Institution,State Government,, Grant For Research",Educational - ,$0,$0,[None Indicated],N/A,N/A,LARGE SCALE AND ACTUAL SCALE REGENERATOR EXPERIMEN TS AND CFD MODELING FOR IMPROVED DESIGN AND MANUF
OH,OH-11,CLEVELAND STATE UNIV,NNC04GB62G Modification 5,GRC - Glenn Research Center,"Cleveland, OH (District 11)",06/09/2006,08/31/2007,"Educational Institution,State Government,, Grant For Research",Educational - ,$0,$0,[None Indicated],N/A,N/A,VALIDATION OF MULTI-DIMENSIONAL STIRLING ENGINE CO DES AND MULTI-D MODELING SUPPORT
