State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
MD,MD-06,LOATS ASSOCIATES INCORPORATED,NNG06LA39C Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Westminster, MD (District 06)",01/28/2006,07/24/2006,"Small Business,Women Owned,, Firm Fixed Price","Woman Owned Small Business,Small Business Innovative Research,Small Business - ",69966,69966,541710,N/A,N/A,SBIR PHASE 1 AWARD FOR EFFORT ENTITLED: ELECTROSTATIC CLAMP
MD,MD-07,UNIVERSITY OF MARYLAND (2033),NNJ05HE73G Modification 2,JSC - Johnson Space Flight Center,"Baltimore, MD (District 07)",01/30/2006,05/31/2009,"Educational Institution,State Government,, Grant For Research",Educational - ,-277590,-1105595,[None Indicated],N/A,N/A,MITIGATING HIGH Z RADIATION INDUCED GENOMIC INSTABILITY BY NON-PROTEIN THIOLS
MD,MD-07,JOHNS HOPKINS UNIVERSITY,NNG05GE63G Modification 1,GSFC - Goddard Space Flight Center,"Baltimore, MD (District 07)",01/30/2006,02/28/2007,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,EMPIRICAL DETERMINATION OF OL F-VALUES WITH FUSE
MD,MD-05,UNIV MARYLAND COLLEGE PARK,NAG513108 Modification 3,GSFC - Goddard Space Flight Center,"College Park, MD (District 05)",01/30/2006,03/14/2007,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,STELLAR MASSES FROM 2MASS INFRARED DATA AND THE DE NSITY DISTRIBUTION OF DARK MATTER HALOS
MD,,COMPUTER SCIENCES CORP,NNG04GL77G Modification 2,GSFC - Goddard Space Flight Center,"Lanham, MD",01/30/2006,05/31/2006,"[No Vendor Indicators Found], Grant For Research",Other Than Small Business - ,0,0,[None Indicated],N/A,N/A,OBSERVATION OF THE ATMOSPHERIC ECLIPSE OF 22 VULPECULAE
MD,MD-04,PROXEMY RESEARCH INC,NNG04GN05G Modification 2,GSFC - Goddard Space Flight Center,"GAITHERSBURG, MD (District 04)",01/30/2006,08/14/2007,"Small Business,, Grant For Research",Small Business ONLY - ,0,0,[None Indicated],N/A,N/A,"APPLICATIONS OF MARS IMAGE AND TOPOGRAPHY TO LAVA FLOWS: INVESTIGATIONS OF RHEOLOGY,TOPOGRAPHIC INFL"
MD,MD-05,REI SYSTEMS INC,NNG05CB12C Modification 3,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/30/2006,03/31/2006,"Minority Owned,SBA Certified 8A Program Participant,Small Business,Sub Continent Asian American Owned Business,, Cost Plus Fixed Fee","Small Disadvantaged Business,Small Business - ",0,0,541512,N/A,N/A,Initiate Sole Source 8a Follow-On
MD,MD-05,UNIVERSITY SYSTEM OF MARYLAND (2033),NNS06AA15G Modification 1,SSC - Stennis Space Center,"College Park, MD (District 05)",01/30/2006,12/31/2006,"Educational Institution,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,enhancement and expansion of the near-real time lake and resevoir monitoring system
MD,MD-05,MARTINS MACHINE AND SHEET METAL INCORPORATED,NNG04CS58D Modification 322,GSFC - Goddard Space Flight Center,"Beltsville, MD (District 05)",01/30/2006,01/14/2009,"Small Business,, BPA Call",Small Business ONLY - ,650,650,332999,N/A,N/A,fabrication bpa call
MD,MD-08,EG&G TECHNICAL SERVICES INC,H36952D Modification 17,MSFC - Marshall Space Flight Center,"GAITHERSBURG, MD (District 08)",01/30/2006,07/31/2006,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,1322,1322,541614,N/A,N/A,(1)H ORDER FOR HAVE NOT (2)MP FUNDING FOR SR 12 (3)CD FUNDING FOR SR 12 (4) HAVE NOT IDIQ
MD,MD-05,ADVANCED VACUUM COMPANY INCORPORATED,NNG06LU04P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/30/2006,03/03/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,3863,3863,[None Indicated],N/A,N/A,REBUILD ACP28G ALCATEL DRY VACUUM PUMP
MD,MD-08,LEVIN PROFESSIONAL SERVICES INCORPORATED,NNK06OR08P Modification 0 (Base Record),KSC - Kennedy Space Flight Center,"Silver Spring, MD (District 08)",01/30/2006,03/06/2006,"Small Business,, Firm Fixed Price",Small Business ONLY - ,4170,4170,423990,N/A,N/A,MEASURING TOOLS
MD,MD-07,UNIVERSITIES SPACE RESEARCH,NNG04GF56G Modification 1,GSFC - Goddard Space Flight Center,"Columbia, MD (District 07)",01/30/2006,04/14/2007,"Nonprofit Organization,, Grant For Research",Non-Profit Institutions - ,25000,25000,[None Indicated],N/A,N/A,ASTRONOMY PICTURE OF THE DAY.
MD,,TORO PARTNERS GP INCORPORATED,GSFC0200004DNAS500121 Modification D113,GSFC - Goddard Space Flight Center,"UNITED STATES, MD",01/30/2006,11/30/2012,"[No Vendor Indicators Found], Firm Fixed Price",Small Business ONLY - ,67000,0,221210,N/A,N/A,LANDFILL GAS UTILITY SERVICES AT GODDARD SPACE FLIGHT CENTER
MD,MD-05,CONSOLIDATED SAFETY SVS INC,GSFC0200308DNAS503097 Modification 21,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/30/2006,07/31/2006,"SBA Certified 8A Program Participant,SBA Certified Small Disadvantaged Business,Self Certified Small Disadvantaged Business,Small Business,Small Disadvantaged Business,Women Owned,, Cost Plus Fixed Fee","Small Disadvantaged Business,8(A) Program,Woman Owned Small Business,Small Business - ",85000,0,541620,N/A,N/A,
MD,MD-07,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,NNG06GC17G Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Baltimore, MD (District 07)",01/30/2006,01/31/2009,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,93065,93065,[None Indicated],N/A,N/A,STUDIES OF 3D-CLOUD OPTICAL DEPTH FROM SMALL TO VERY LARGE VALUES.
MD,MD-05,Q S S GROUP INC,NNG04EA43C Modification 18,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/30/2006,11/30/2006,"Minority Owned,Small Business,Sub Continent Asian American Owned Business,, Cost Plus Award Fee",Small Business - ,275698,0,541512,N/A,N/A,MISSION SUPPORT SERVICES TO NASA'S SPACE SCIENCE DATA OPERTIONS OFFICE (SSDOO).
MD,MD-07,UNIVERSITY OF MARYLAND BALTIMORE,NNJ06HD31G Modification 0 (Base Record),JSC - Johnson Space Flight Center,"BALTIMORE, MD (District 07)",01/30/2006,05/31/2009,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,277590,1105595,[None Indicated],N/A,N/A,MITIGATING HIGH Z RADIATION INDUCED GENOMIC INSTABILITY BY NON-PROTEIN THIOLS
