State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
MI	97	$23445127	51	$4694858	5	$1672027	4	$335431	17	$15836572	15	$14984444	0	$ 0	14	$3887260	19	$12572916
MN	63	$15311630	41	$2546895	3	$177118	4	$840503	4	$5047984	3	$4805187	0	$ 0	5	$5659298	6	$4298752
MO	47	$17742915	18	$433503	2	$55787	3	$1780446	13	$9041107	4	$1259735	0	$ 0	3	$281288	13	$7826772
MS	174	$320209779	85	$54888229	27	$9751581	24	$27451981	12	$12953012	7	$12876703	1	$403818	6	$22951	10	$9398122
MT	17	$7589832	7	$1278616	0	$ 0	4	$548772	9	$6276224	5	$5752451	0	$ 0	3	$218215	8	$1474762
NC	98	$14819629	50	$2590937	10	$907945	4	$748073	17	$6249069	13	$4777909	4	$2246537	7	$2050185	16	$4546218
ND	8	$7435768	0	$ 0	0	$ 0	2	$599500	4	$6789046	2	$6632242	0	$ 0	1	$7500	3	$4150913
NE	10	$5629775	4	$161005	1	$58210	1	$58210	4	$4898357	4	$4898357	0	$ 0	3	$1361836	3	$3423384
NH	44	$20154380	29	$6612323	5	$898454	1	$ 0	4	$12075179	0	$ 0	0	$ 0	4	$9344381	5	$11212319
NJ	167	$19641633	94	$6453125	13	$916432	8	$765277	19	$8950170	7	$2911637	0	$ 0	20	$3175789	23	$7401430
NM	71	$114911576	42	$44459890	8	$1491715	8	$32329788	10	$29511340	5	$29370610	0	$ 0	11	$2155595	9	$2916096
NV	23	$4121764	17	$979601	0	$ 0	1	$26512	3	$2963613	2	$1854082	0	$ 0	2	$1156318	2	$1845402
NY	262	$66316230	143	$13644107	22	$420377	10	$2009755	34	$28622777	0	$ 0	0	$ 0	46	$27690331	51	$26485412
OH	449	$349307099	292	$213716839	52	$26994572	52	$169523262	31	$13773534	14	$8222898	0	$ 0	24	$17004302	23	$7691849
OK	20	$10885478	6	$2646181	2	$2435459	0	$ 0	6	$4827295	2	$914291	0	$ 0	4	$6955378	6	$773398
OR	46	$9462365	26	$1402334	2	$68350	0	$ 0	9	$6493918	8	$6444320	0	$ 0	4	$566947	8	$5439226
PA	227	$39113526	135	$7666403	17	$647131	7	$453781	34	$21871539	14	$13525893	0	$ 0	17	$10044645	34	$10303315
RI	18	$5870098	9	$348685	0	$ 0	0	$ 0	5	$4764326	1	$454224	0	$ 0	4	$1393400	5	$1793686
SC	25	$4967897	13	$884263	2	$396727	1	$19665	5	$3178737	4	$3159072	1	$19665	4	$852059	8	$1405796
SD	7	$4162531	1	$26046	0	$ 0	0	$ 0	5	$3643707	3	$3362711	0	$ 0	4	$858230	3	$1169113
TN	42	$36223621	20	$8316767	4	$108358	1	$ 0	12	$5542926	9	$2912034	1	$122917	4	$14147800	10	$3002877
TX	513	$3949229965	275	$235115654	65	$74714527	70	$151802778	58	$58381722	32	$26905353	3	$999975	37	$100006184	46	$29292780
UT	46	$581379093	24	$1384181	1	$705614	3	$809249	10	$2922708	9	$2348062	0	$ 0	3	$1671358	11	$2841421
VA	644	$650353377	366	$221957963	89	$46524361	66	$134976871	46	$23966443	21	$12666439	3	$3950762	60	$51842189	41	$12725234
VT	13	$3233763	8	$226491	0	$ 0	0	$ 0	3	$1501708	2	$1501708	0	$ 0	3	$1501708	4	$1906708
WA	79	$30983788	45	$11102004	4	$741809	3	$224599	8	$12322363	4	$12275758	0	$ 0	12	$3694874	13	$11448640
WI	36	$17281934	16	$1285745	5	$100542	0	$ 0	7	$12416928	4	$12378228	0	$ 0	4	$33359	7	$9041150
WV	37	$53053720	14	$3398211	4	$1122756	5	$2010537	13	$22613431	3	$288377	1	$ 0	11	$18399783	8	$7468398
WY	6	$3578768	3	$122491	0	$ 0	0	$ 0	1	$3401038	1	$3401038	0	$ 0	2	$359864	1	$641090
