State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
KY	25	$2473381	10	$1050209	3	$47365	1	$544617	11	$1271305	7	$1329904	0	$ 0	8	$1415861	8	$378401
LA	23	$109132658	5	$175716	3	$10327771	3	$161034	10	$1285628	5	$1268312	3	$156183	2	$100000	8	$774146
MA	291	$178376490	157	$31349149	12	$1970856	12	$2882869	32	$34677963	1	$1530224	0	$ 0	46	$89231899	61	$41585440
MD	623	$1707415789	369	$649630142	93	$92445344	119	$410144709	69	$197332337	34	$56721059	3	$1674987	59	$192601338	84	$56037435
ME	13	$2896560	4	$1111299	0	$ 0	0	$ 0	5	$1135749	3	$775624	0	$ 0	4	$716120	7	$1080199
MI	110	$28023886	61	$7834983	8	$2784446	4	$944552	16	$16369795	14	$16296740	0	$ 0	12	$2673556	18	$12535498
MN	57	$9285015	31	$2011814	2	$251724	1	$236176	6	$3961652	5	$3961652	0	$ 0	2	$3809415	6	$2818813
MO	45	$24228619	19	$1388837	3	$154807	4	$1769021	10	$7877107	2	$615604	0	$ 0	6	$105709	10	$6979927
MS	142	$238591543	76	$41014014	22	$9700714	18	$23649454	8	$2942639	4	$2984342	3	$120054	2	$-1020	8	$763804
MT	21	$10869104	12	$3805582	1	$118029	4	$1054362	7	$6910501	6	$6690557	0	$ 0	2	$153021	7	$2316631
NC	80	$10309784	50	$2345533	7	$942364	5	$902047	14	$6400281	10	$4519640	3	$2402900	6	$117478	13	$3255112
ND	6	$5392415	2	$99954	0	$ 0	1	$592000	2	$4675461	1	$4526157	0	$ 0	0	$ 0	2	$1684064
NE	10	$3065970	3	$59321	1	$35222	1	$35222	3	$2636604	3	$2636604	0	$ 0	3	$626353	3	$595487
NH	46	$23473235	30	$8124496	4	$1283751	1	$55230	5	$12205765	2	$22339	0	$ 0	3	$11596446	4	$8046327
NJ	136	$15913767	77	$8552533	11	$947497	10	$1966975	17	$5400765	9	$2320189	0	$ 0	13	$884977	20	$3977683
NM	67	$73120083	43	$28747759	11	$6018029	12	$17772351	7	$27037366	4	$26616666	0	$ 0	7	$2311078	8	$3504791
NV	22	$21216188	14	$753355	1	$17585942	0	$ 0	3	$2406915	3	$1603821	0	$ 0	2	$1248488	2	$1678796
NY	244	$80355796	145	$19263891	18	$497575	14	$4109559	29	$28619661	0	$ 0	0	$ 0	31	$19963921	43	$22140026
OH	424	$293906238	275	$197909961	55	$20640817	46	$160410520	25	$11710241	11	$7986201	0	$ 0	23	$11901239	17	$7099642
OK	22	$13011363	11	$2865943	5	$2731231	1	$14215	5	$8168767	2	$3581078	0	$ 0	3	$6408184	4	$2747025
OR	49	$9137694	34	$3155577	1	$29750	0	$ 0	6	$4582009	5	$4586698	0	$ 0	3	$31580	6	$3646207
PA	199	$39433912	112	$13132449	11	$579241	5	$258938	28	$20419649	13	$15915441	1	$-19389	12	$8240106	25	$7171353
RI	19	$6170044	8	$337526	0	$ 0	0	$ 0	6	$5601705	1	$655296	0	$ 0	4	$1039748	6	$2598616
SC	21	$1858598	10	$198448	2	$18184	0	$ 0	6	$1087675	6	$1087675	1	$29921	3	$540071	6	$1176885
SD	8	$3670527	0	$ 0	0	$ 0	0	$ 0	5	$3367251	4	$3323122	0	$ 0	5	$727733	3	$1839892
TN	44	$32505923	25	$10130117	6	$115604	3	$35941	11	$3386831	9	$1131211	0	$ 0	2	$15099962	10	$1241858
TX	501	$3354332204	277	$130331740	58	$42028148	72	$73050486	61	$51625858	36	$26613777	2	$990635	38	$97891391	50	$26781583
UT	42	$460822473	21	$1113060	2	$534395	3	$634370	8	$2725106	7	$2091697	0	$ 0	3	$1503356	9	$2464791
VA	566	$723124527	331	$241192054	69	$56536163	61	$141862389	32	$16426943	19	$9939498	3	$3991452	44	$37288536	38	$12027651
VT	13	$2108446	6	$463976	0	$ 0	0	$ 0	3	$1263161	3	$1263161	0	$ 0	3	$1263161	3	$3105
WA	82	$45995545	51	$29376853	4	$748800	5	$1178407	7	$11474014	5	$11456664	0	$ 0	10	$1986399	10	$10340847
WI	40	$10364817	16	$1324969	4	$67707	1	$-5708	10	$8717432	8	$8713832	0	$ 0	6	$159168	8	$7389276
WV	31	$40099442	12	$4778987	4	$1266925	5	$1633744	8	$9176532	1	$350498	1	$-6989	9	$9426788	5	$-166946
WY	8	$1792940	5	$285088	0	$ 0	0	$ 0	1	$1461777	1	$1461777	0	$ 0	2	$43770	1	$223777
