State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
IL	169	$33137444	84	$9051093	5	$187445	9	$1660700	26	$18732156	10	$9783011	0	$ 0	26	$9729413	28	$11405099
IN	58	$99021135	27	$940982	1	$10000	2	$191972	12	$8770511	4	$644361	0	$ 0	6	$6835468	16	$10140771
KS	27	$9287984	9	$723287	1	$3159	0	$ 0	8	$4685041	5	$2172151	0	$ 0	7	$3826580	9	$4105480
KY	27	$118324852	10	$283690	1	$3643	0	$ 0	13	$6713401	8	$5770558	0	$ 0	9	$111689932	10	$5815160
LA	39	$341476556	16	$870932	3	$20782	2	$153314	20	$5318906	14	$3123203	5	$758935	3	$1351708	14	$1952539
MA	404	$256197171	231	$30863273	15	$837016	12	$3706040	51	$85766988	5	$3154460	0	$ 0	70	$177766647	62	$59919901
MD	881	$1577598448	597	$524442254	138	$102703405	146	$300467110	72	$149314122	22	$100807915	8	$15446905	66	$251159200	51	$67438902
ME	15	$3184331	5	$178167	2	$11525	0	$ 0	3	$62171	3	$62171	0	$ 0	3	$1709995	6	$2254520
MI	107	$30085147	64	$6405808	4	$155290	7	$1840781	22	$20485694	12	$18847138	0	$ 0	16	$18598887	21	$18155333
MN	79	$11527895	40	$1504482	4	$106882	2	$389057	8	$3922918	5	$3916572	0	$ 0	6	$3805184	7	$6155117
MO	62	$26242969	31	$1089216	4	$23969	2	$595091	14	$22893722	7	$9381920	0	$ 0	13	$11868896	16	$17365153
MS	133	$141274696	69	$15279818	9	$545115	15	$6578284	18	$3863680	8	$1965216	3	$252479	9	$1612267	14	$2020082
MT	27	$14259701	15	$3903388	1	$ 0	1	$2521628	10	$10273593	8	$9639540	0	$ 0	3	$634053	14	$7751842
NC	94	$31197174	47	$12911962	8	$6112256	7	$11052521	25	$11534670	13	$7533774	6	$2151972	9	$8571848	20	$10074178
ND	9	$6720565	0	$ 0	0	$ 0	0	$ 0	8	$6600565	4	$4296708	0	$ 0	3	$174857	8	$3896785
NE	15	$3036968	6	$127424	1	$13295	1	$13295	6	$2566065	5	$2288552	0	$ 0	5	$2498890	6	$2166715
NH	89	$36744873	62	$6238015	9	$1391829	2	$69283	6	$17198488	3	$12098321	0	$ 0	4	$3195249	6	$14992976
NJ	220	$52467481	140	$11654294	12	$1128146	4	$1081249	17	$16946760	3	$2401772	0	$ 0	20	$15294630	19	$13135718
NM	78	$94942444	43	$8884347	7	$2477025	14	$4404203	16	$20801229	10	$20211674	0	$ 0	6	$4804501	14	$5856986
NV	37	$7181268	26	$4150391	2	$82007	0	$ 0	5	$2329282	4	$2326392	0	$ 0	2	$194079	5	$2262383
NY	321	$110627737	202	$25097241	17	$277211	18	$4234124	52	$55844530	6	$1830004	0	$ 0	53	$60494928	64	$72767287
OH	474	$243404375	342	$112716276	43	$9770411	47	$84334638	43	$36893518	14	$23505152	0	$ 0	48	$46469739	33	$19507442
OK	25	$19990601	15	$1490245	5	$1397338	2	$1029608	7	$17166429	5	$16816429	0	$ 0	4	$1207325	5	$1817571
OR	69	$15378181	43	$3033798	7	$140001	2	$50883	6	$9381513	6	$9381513	0	$ 0	4	$1435521	12	$8848513
PA	282	$53304425	179	$9230274	23	$759317	4	$49917	34	$34444483	15	$22986413	1	$54008	27	$10781725	31	$19777019
RI	27	$8049235	16	$569650	2	$91980	0	$ 0	6	$6731040	2	$2087695	0	$ 0	8	$7078628	9	$6111081
SC	43	$11762837	18	$1202335	4	$465644	0	$ 0	12	$7396885	10	$7394278	2	$247000	6	$2688738	13	$8398720
SD	14	$2382354	3	$21683	0	$ 0	1	$3428	6	$528057	3	$301442	0	$ 0	7	$2103863	4	$134612
TN	79	$34906785	44	$3042659	14	$1010669	5	$472775	18	$12354536	15	$9621332	2	$6668445	7	$4667908	16	$8324102
TX	627	$3576620734	371	$187359670	82	$37745319	56	$100008722	102	$74482741	54	$31561757	5	$2259526	52	$94800919	80	$32083048
UT	60	$396364409	30	$4283056	2	$435170	3	$523431	11	$4947888	7	$4667627	0	$ 0	10	$3537968	7	$4137105
VA	726	$690435548	415	$193976819	72	$15291411	71	$45031188	52	$69672132	13	$18592282	4	$29950689	69	$71525469	48	$31147363
VT	17	$3375336	13	$1492480	0	$ 0	0	$ 0	3	$1828900	2	$1768184	0	$ 0	2	$1768184	4	$1379902
WA	113	$35651660	71	$14587600	2	$2528606	5	$2020248	16	$14063650	9	$13129394	0	$ 0	13	$3928470	17	$12080590
WI	58	$29588378	25	$13435381	1	$3389	0	$ 0	14	$11804719	11	$11316338	0	$ 0	6	$4413132	15	$9487737
WV	43	$136991794	16	$5400142	3	$839470	4	$3064146	15	$47539175	9	$6221127	2	$126110	9	$111760949	16	$56846707
WY	5	$2145226	2	$395000	0	$ 0	0	$ 0	3	$1750226	2	$1616286	0	$ 0	3	$1419367	2	$1296914
