State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
MI	106	$23975410	58	$4262808	7	$1101005	3	$144971	15	$15601181	13	$15572207	0	$ 0	14	$4776165	17	$13382465
MN	65	$11364720	34	$1887900	5	$280653	4	$316767	3	$5922182	2	$5688182	0	$ 0	4	$4722691	3	$3901894
MO	49	$18255472	16	$395322	3	$113112	2	$1780666	14	$8593922	4	$642812	0	$ 0	11	$1575608	14	$7172457
MS	134	$342372366	58	$55280529	14	$7778235	10	$20253124	13	$5050570	8	$4860370	1	$60000	6	$-186734	7	$2176066
MT	20	$8342502	13	$1721247	2	$ 0	2	$718141	6	$6596365	4	$5842583	0	$ 0	2	$753782	6	$3363489
NC	79	$11950711	44	$2195659	10	$536035	5	$95844	15	$6942717	11	$5560445	3	$2057682	6	$1626488	14	$3408599
ND	3	$6850053	0	$ 0	0	$ 0	1	$592500	2	$6829029	1	$6236529	0	$ 0	1	$592500	1	$3603933
NE	6	$3329980	1	$25075	1	$25075	1	$25075	4	$3230231	4	$3230231	0	$ 0	2	$1730231	3	$323966
NH	61	$20017404	38	$6355197	2	$857541	2	$10579	6	$10081115	2	$ 0	0	$ 0	4	$8436981	6	$11676073
NJ	165	$36042831	97	$10450442	8	$1724562	6	$939537	19	$11250135	7	$3354081	0	$ 0	15	$4440006	18	$7982457
NM	59	$111070548	29	$39027891	7	$4587903	8	$34547234	7	$29096639	5	$28515410	0	$ 0	7	$2136895	7	$3133525
NV	18	$2304844	12	$-44592	1	$-3323	1	$17085	4	$2177608	4	$1749661	0	$ 0	2	$447347	3	$1084608
NY	250	$60156858	135	$13894847	12	$570662	9	$4469774	32	$25029977	1	$ 0	0	$ 0	40	$21249367	46	$22330344
OH	368	$285413608	235	$164611760	31	$17015139	46	$128791958	23	$13963483	13	$9617704	0	$ 0	23	$16846317	19	$6169481
OK	18	$13439887	7	$1631882	3	$1396645	0	$ 0	6	$7550692	2	$3579748	0	$ 0	4	$7882198	4	$1869198
OR	53	$9316300	34	$2199259	4	$264408	0	$ 0	8	$5497480	8	$5497480	0	$ 0	1	$84567	10	$4508599
PA	210	$41716571	128	$9913096	15	$614674	4	$741249	29	$25249604	14	$15086069	0	$ 0	19	$13202958	29	$9605772
RI	20	$7281714	7	$105936	0	$ 0	0	$ 0	6	$5582025	1	$576660	0	$ 0	7	$3297892	6	$2979901
SC	23	$4601486	9	$485184	2	$183808	1	$415755	6	$3056063	5	$2640308	1	$415755	4	$1121644	6	$2989135
SD	6	$5042340	2	$18279	0	$ 0	0	$ 0	4	$5024061	2	$4128319	0	$ 0	4	$2090238	1	$1745062
TN	50	$31963592	28	$6607629	7	$129431	3	$17811	15	$6541464	9	$3869173	1	$140165	9	$19263329	11	$2825622
TX	422	$3498887813	228	$270928775	43	$72693159	60	$150998745	52	$62060861	31	$26877395	4	$996228	34	$117009480	47	$31049667
UT	39	$667739771	18	$1090150	1	$371557	4	$522216	10	$4180721	9	$3961640	0	$ 0	4	$2299724	13	$3562975
VA	541	$673269232	318	$204856536	55	$43833474	57	$110968565	33	$20288708	14	$9309894	2	$2874513	50	$46267693	37	$15716988
VT	17	$5372202	11	$579247	0	$ 0	0	$ 0	3	$3483654	2	$2990950	0	$ 0	3	$3483654	4	$1992704
WA	82	$25732647	50	$8254194	3	$281163	6	$477813	5	$9254966	4	$9254966	0	$ 0	9	$2264304	9	$9300649
WI	51	$14190656	27	$2196062	1	$87200	0	$ 0	10	$11178262	6	$11075989	0	$ 0	3	$949700	10	$9682776
WV	37	$47750560	14	$8120933	5	$1231231	6	$1983026	13	$14776116	6	$1773637	1	$2000000	9	$12008318	9	$1148860
WY	6	$1292840	4	$105550	0	$ 0	0	$ 0	1	$1137630	1	$1137630	0	$ 0	2	$373247	1	$341630
