State	Total Recipients	Net Obligations	Small Businesses	Small Business Obligations	Woman Owned	Woman Owned Obligations	Minority Owned	Minority Owned Obligations	Educational Institutions	Educational Institutions Obligations	Public Universities	Public University Obligations	HBCUs	HBCU Obligations	Non Profits	Non Profit Obligations	Grant Recipient Institutions	Grant Obligations
MO	34	$18426281	16	$1095673	1	$8137	2	$1334084	7	$10661829	2	$2808977	0	$ 0	1	$ 0	7	$8400618
MS	133	$381988021	64	$77255162	19	$16411105	16	$64822638	11	$5426281	5	$4576125	2	$200385	6	$759342	7	$653774
MT	16	$5967477	8	$1465934	1	$117971	1	$223844	5	$4333574	3	$4109730	0	$ 0	4	$167969	7	$2357209
NC	70	$11482749	41	$1893249	3	$714830	3	$714936	12	$8177326	8	$4934030	3	$2913314	8	$571302	14	$4235104
ND	5	$1819775	1	$19879	0	$ 0	1	$592000	2	$1141642	1	$1141642	0	$ 0	0	$ 0	2	$1154052
NE	5	$2596241	3	$65721	1	$8407	1	$8407	1	$2530520	1	$2530520	0	$ 0	1	$877146	1	$925520
NH	42	$26069810	29	$9808926	3	$535978	1	$ 0	3	$12730159	1	$13807	0	$ 0	2	$11268865	3	$10905040
NJ	125	$16095058	77	$5952964	9	$1019095	11	$485462	11	$8099173	5	$2439719	0	$ 0	9	$1288020	14	$7330899
NM	53	$61074105	34	$16863219	7	$2407489	14	$4692651	5	$37495165	4	$37341456	0	$ 0	5	$3261300	6	$4329550
NV	25	$17974717	18	$10947701	2	$4117823	1	$ 0	3	$2200947	2	$1643378	0	$ 0	2	$1210421	3	$1362123
NY	245	$90181116	137	$14055222	17	$330823	8	$3152588	30	$29056308	2	$734860	0	$ 0	32	$13887908	39	$22064881
OH	375	$282305323	244	$202790977	41	$36666038	35	$140426456	18	$10178671	11	$6966495	0	$ 0	16	$7691940	15	$6001194
OK	21	$9064985	12	$813738	4	$664960	2	$142775	4	$7971143	1	$3430008	0	$ 0	4	$4619064	3	$1948648
OR	49	$12609247	32	$5383260	5	$529469	3	$134380	6	$5944319	6	$5944319	0	$ 0	3	$420187	7	$5695133
PA	186	$40959170	113	$13478509	9	$262532	3	$45772	22	$19518394	9	$14877173	0	$ 0	11	$8328544	22	$11375580
RI	18	$4970572	8	$561935	0	$ 0	0	$ 0	5	$4199324	1	$262398	0	$ 0	3	$71067	5	$2051152
SC	27	$4692884	15	$471710	3	$90376	1	$ 0	7	$2990535	6	$2990535	2	$29103	1	$1164384	6	$2225998
SD	8	$5547416	2	$143830	1	$124943	1	$124943	4	$4923325	2	$4938047	0	$ 0	5	$463176	2	$2536621
TN	49	$26612134	31	$4066022	6	$97146	3	$118880	6	$3663756	4	$1086056	0	$ 0	2	$17749352	6	$1226103
TX	454	$2012456028	239	$116992632	60	$75043861	61	$44800826	46	$51293091	30	$31669775	2	$407512	31	$86439894	39	$30555068
UT	51	$212458322	26	$1378418	3	$420325	4	$314961	7	$5917879	6	$4810146	0	$ 0	3	$390940	10	$4003560
VA	529	$530846696	311	$242915508	65	$72079400	63	$134817661	29	$12590983	17	$7765458	3	$3229529	38	$34194094	31	$11781952
VT	8	$889630	4	$450574	0	$ 0	0	$ 0	3	$731994	2	$731994	0	$ 0	2	$731994	3	$655190
WA	77	$24611131	47	$8348566	2	$16286	4	$953532	5	$9344922	4	$9270149	0	$ 0	5	$1414014	12	$11655042
WI	39	$19332030	19	$6810715	2	$7774	0	$ 0	5	$12139080	3	$12048280	0	$ 0	5	$96373	4	$10698491
WV	28	$40894529	13	$4353927	3	$282826	5	$962264	7	$10388677	1	$148101	0	$ 0	8	$11266443	5	$243022
WY	6	$2248348	3	$4800	0	$ 0	0	$ 0	1	$2160741	1	$2160741	0	$ 0	1	$23100	1	$691741
